season,Ferrari,McLaren,Mercedes-Benz,Honda,Tyrrell,BAR,Brawn GP,Mercedes,Williams,Toleman,Benetton,Renault,Lotus,Alpine,Stewart,Jaguar,Red Bull Racing,Team Lotus,Brabham,Alfa Romeo (Original),Alfa Romeo (Autodelta),Sauber,Alfa Romeo,Jordan,Midland,Spyker,Force India,Racing Point,Aston Martin,Ligier,Prost,BRM,Cooper,Arrows,Footwork,Minardi,Toro Rosso,AlphaTauri,Maserati,Equipe Renault,Toyota,Matra,March,RRC Walker,Frank Williams Racing Cars,Wolf,Shadow,Vanwall,Surtees,Reg Parnell,Hesketh,Gordini,Fittipaldi,Larrousse,Haas F1 Team,Porsche,BMS Scuderia Italia,Centro Sud,BRP,Penske,Rosier,Ensign,ATS (Germany),Connaught,Leyton House,Anglo American Racers,Hill,Jo Bonnier,Osella,Fondmetal,DW Racing Enterprises,Theodore,Zakspeed,AGS,Bob Estes,Onyx,RAM,Super Aguri,Marussia,Manor Racing
1984,228.0,435.0,,,,,,,109.0,84.0,,,,,,,,203.0,145.0,,58.0,,,,,,,,,47.0,,,,51.0,,,,,,140.0,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,34.0,,,,,,,,13.0,,,
1985,282.0,286.0,,,78.0,,,,247.0,,,,,,,,,258.0,122.0,,8.0,,,,,,,,,103.0,,,,102.0,,4.0,,,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,2.0,,,
1986,153.0,321.0,,,80.0,,,,440.0,,96.0,,,,,,,208.0,43.0,,,,,,,,,,,156.0,,,,49.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
1987,180.0,281.0,,,98.0,,,,413.0,,140.0,,,,,,,241.0,48.0,,,,,,,,,,,25.0,,,,70.0,,,,,,,,,11.0,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,38.0,13.0,,,,,,
1988,239.0,576.0,,,30.0,,,,98.0,,193.0,,,,,,,130.0,,,,,,,,,,,,6.0,,,,138.0,,19.0,,,,,,,115.0,,,,,,,,,,,22.0,,,15.0,,,,,,,,,,,,2.0,,,,,8.0,,,,,,
1989,177.0,419.0,,,91.0,,,,265.0,,158.0,,,,,,,89.0,56.0,,,,,,,,,,,32.0,,,,98.0,,50.0,,,,,,,34.0,,,,,,,,,,,10.0,,,67.0,,,,,,,,,,,,,,,,,18.0,,29.0,,,,
1990,343.0,388.0,,,100.0,,,,235.0,,278.0,,,,,,,43.0,18.0,,,,,,,,,,,22.0,,,,34.0,,14.0,,,,,,,,,,,,,,,,,,77.0,,,2.0,,,,,,,,47.0,,,,,,,,,2.0,,6.0,,,,
1991,213.0,432.0,,,60.0,,,,381.0,,189.0,,,,,,,30.0,25.0,,,,,100.0,,,,,,28.0,,,,,1.0,50.0,,,,,,,,,,,,,,,,,,18.0,,,42.0,,,,,,,,34.0,,,,,1.0,,,,4.0,,,,,,
1992,95.0,307.0,,,54.0,,,,456.0,,327.0,,,,,,,89.0,,,,,,21.0,,,,,,64.0,,,,,97.0,25.0,,,,,,,19.0,,,,,,,,,,,12.0,,,49.0,,,,,,,,,,,,,1.0,,,,,,,,,,
1993,131.0,263.0,,,2.0,,,,475.0,,248.0,,,,,,,70.0,,,,84.0,,30.0,,,,,,147.0,,,,,38.0,71.0,,,,,,,,,,,,,,,,,,42.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,
1994,243.0,166.0,,,73.0,,,,347.0,,296.0,,,,,,,31.0,,,,85.0,,129.0,,,,,,88.0,,,,,62.0,49.0,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,259.0,142.0,,,59.0,,,,350.0,,435.0,,,,,,,,,,,120.0,,112.0,,,,,,137.0,,,,,37.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,232.0,223.0,,,56.0,,,,484.0,,251.0,,,,,,,,,,,88.0,,127.0,,,,,,100.0,,,,,21.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,324.0,225.0,,,23.0,,,,373.0,,271.0,,,,27.0,,,,,,,116.0,,162.0,,,,,,,126.0,,,63.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,415.0,456.0,,,8.0,,,,206.0,,174.0,,,,32.0,,,,,,,96.0,,157.0,,,,,,,13.0,,,34.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,411.0,364.0,,,,23.0,,,155.0,,101.0,,,,152.0,,,,,,,54.0,,230.0,,,,,,,76.0,,,18.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,491.0,490.0,,,,128.0,,,172.0,,111.0,,,,,61.0,,,,,,82.0,,105.0,,,,,,,11.0,,,49.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,522.0,340.0,,,,121.0,,,251.0,,65.0,,,,,66.0,,,,,,143.0,,127.0,,,,,,,46.0,,,31.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,603.0,245.0,,,,68.0,,,332.0,,,133.0,,,,58.0,,,,,,113.0,,74.0,,,,,,,,,,17.0,,22.0,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,399.0,339.0,,,,83.0,,,352.0,,,224.0,,,,59.0,,,,,,64.0,,38.0,,,,,,,,,,,,3.0,,,,,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,638.0,183.0,,,,295.0,,,226.0,,,265.0,,,,40.0,,,,,,114.0,,17.0,,,,,,,,,,,,7.0,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,256.0,452.0,,,,104.0,,,167.0,,,466.0,,,,,111.0,,,,,67.0,,33.0,,,,,,,,,,,,18.0,,,,,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,496.0,269.0,,225.0,,,,,41.0,,,504.0,,,,,52.0,,,,,109.0,,,3.0,,,,,,,,,,,,11.0,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
2007,500.0,531.0,,25.0,,,,,95.0,,,150.0,,,,,74.0,,,,,257.0,,,,4.0,,,,,,,,,,,24.0,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,
2008,429.0,379.0,,40.0,,,,,77.0,,,203.0,,,,,93.0,,,,,334.0,,,,,1.0,,,,,,,,,,107.0,,,,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,184.0,184.0,,,,,448.0,,101.0,,,74.0,,,,,380.0,,,,,107.0,,,,,36.0,,,,,,,,,,29.0,,,,174.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
